season,episode,id,name,start,end,merge,delete,keep,notes,,,,
1,1,1,Both Ways,0:00,1:40,,2,,,,,,
1,1,2,Has This Ever Happened to You?,1:40,3:27,,,,,,,,
1,1,3,Baby of the Year,3:27,7:25,,"0, 2-15, 17, 18, 22-25, 31, 40, 42-46, 48-53",,,,,,
1,1,4,Instagram,7:25,9:25,,"0-3, 6, 8-11",,,,,,
1,1,5,Gift Receipt,9:25,17:15,4+19,"0, 7-11, 14",,,,,,
1,2,6,Biker Guy,0:00,2:15,,"13, 14, 17",,,,,,
1,2,7,River Mountain High,2:15,4:38,,1-3,,,,,,
1,2,8,Wilson's Toupees,4:38,6:23,8+12,"6, 9, 10",,,,,,
1,2,9,Pink Bag,6:23,9:27,"2+4, 5+9",11,,,,,,
1,2,10,River Mountain High,9:27,10:44,,,,,,,,
1,2,11,The Man,10:44,16:16,,"2, 4, 7, 9",,,,,,
1,3,12,Which Hand,0:00,3:50,,"2, 4-15",,,,,,
1,3,13,Focus Group,3:50,6:50,,"1, 5, 6 ",,,,,,
1,3,14,Laser Spine Specialists,6:50,9:32,,"0, 1, 2, 4, 8, 12",,,,,,
1,3,15,New Joe,9:32,11:38,,"0, 2-10, 12, 14, 17-25, 27-30, 32-33",,,,,,
1,3,16,Game Night,11:38,17:34,,7-11,,,,,,
1,4,17,Lifetime Achievement,0:33,3:45,,"0, 2, 7, 8, 10-12, 15-20, 22, 25, 27-37",,,,,,
1,4,18,A Christmas Carol,3:45,6:05,,,,,,,,
1,4,19,Nachos,6:05,9:59,,"0, 3",,,,,,
1,4,20,Traffic,9:59,16:17,"1+21+22+23, 0+20","2, 4, 5, 9-12, 24, 27",,,,,,
1,5,21,Brooks Brothers,0:00,3:12,,"0, 4, 6, 11, 12, 17, 18, 19, 22, 25",,,,,,
1,5,22,Choking,3:12,6:13,,"5, 7, 15, 24",,,,,,
1,5,23,New Printer,6:13,8:42,2+5,,,,,,,
1,5,24,The Day Robert Palins Murdered Me,8:42,12:06,,,,,,,,
1,5,25,Babysitter,12:06,16:58,,"0-3, 5, 13-15",,,,,,
1,6,26,Fenton's Stables and Horse Farm,0:42,2:17,,4,,,,,,
1,6,27,Chunky,2:17,6:07,,,,,,,,
1,6,28,Bozo,6:07,8:14,,6-8,,,,,,
1,6,29,Baby Shower,8:14,11:40,,8,,,,,,
1,6,30,Bozo,11:40,13:50,,4-7,,,,,,
1,6,31,Party House,13:50,18:38,,"4, 5, 8",,,,,,
2,1,32,H.D. Vac Part II,0:00,2:50,5+6,,,,,,,
2,1,33,Corncob TV,2:50,4:42,,,0,,,,,
