sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,percentage,category,category2
1,Both Ways,0,1,1,0.0-5.0%,0.0,5.0,2.5,anger,5,9,55.55555555555556,office,
1,Both Ways,0,1,1,0.0-5.0%,0.0,5.0,2.5,happy,2,9,22.22222222222222,office,
1,Both Ways,0,1,1,0.0-5.0%,0.0,5.0,2.5,sad,2,9,22.22222222222222,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,anger,5,13,38.46153846153847,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,happy,5,13,38.46153846153847,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,sad,2,13,15.384615384615385,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,neutral,1,13,7.6923076923076925,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,happy,3,6,50.0,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,anger,1,6,16.666666666666664,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,neutral,1,6,16.666666666666664,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,sad,1,6,16.666666666666664,office,
1,Both Ways,0,1,1,15.0-20.0%,15.0,20.0,17.5,sad,3,5,60.0,office,
1,Both Ways,0,1,1,15.0-20.0%,15.0,20.0,17.5,neutral,1,5,20.0,office,
1,Both Ways,0,1,1,15.0-20.0%,15.0,20.0,17.5,surprise,1,5,20.0,office,
1,Both Ways,0,1,1,20.0-25.0%,20.0,25.0,22.5,surprise,1,1,100.0,office,
1,Both Ways,0,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,2,4,50.0,office,
1,Both Ways,0,1,1,25.0-30.0%,25.0,30.0,27.5,happy,1,4,25.0,office,
1,Both Ways,0,1,1,25.0-30.0%,25.0,30.0,27.5,neutral,1,4,25.0,office,
1,Both Ways,0,1,1,30.0-35.0%,30.0,35.0,32.5,sad,2,3,66.66666666666666,office,
1,Both Ways,0,1,1,30.0-35.0%,30.0,35.0,32.5,neutral,1,3,33.33333333333333,office,
1,Both Ways,0,1,1,35.0-40.0%,35.0,40.0,37.5,happy,2,4,50.0,office,
1,Both Ways,0,1,1,35.0-40.0%,35.0,40.0,37.5,sad,2,4,50.0,office,
1,Both Ways,0,1,1,40.0-45.0%,40.0,45.0,42.5,disgust,4,6,66.66666666666666,office,
1,Both Ways,0,1,1,40.0-45.0%,40.0,45.0,42.5,sad,2,6,33.33333333333333,office,
1,Both Ways,0,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,1,2,50.0,office,
1,Both Ways,0,1,1,50.0-55.0%,50.0,55.0,52.5,sad,1,2,50.0,office,
1,Both Ways,0,1,1,55.0-60.0%,55.0,60.0,57.5,fear,1,2,50.0,office,
1,Both Ways,0,1,1,55.0-60.0%,55.0,60.0,57.5,neutral,1,2,50.0,office,
1,Both Ways,0,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,3,5,60.0,office,
1,Both Ways,0,1,1,60.0-65.0%,60.0,65.0,62.5,fear,2,5,40.0,office,
1,Both Ways,0,1,1,65.0-70.0%,65.0,70.0,67.5,happy,2,2,100.0,office,
1,Both Ways,0,1,1,70.0-75.0%,70.0,75.0,72.5,happy,3,5,60.0,office,
1,Both Ways,0,1,1,70.0-75.0%,70.0,75.0,72.5,neutral,2,5,40.0,office,
1,Both Ways,0,1,1,75.0-80.0%,75.0,80.0,77.5,happy,1,2,50.0,office,
1,Both Ways,0,1,1,75.0-80.0%,75.0,80.0,77.5,neutral,1,2,50.0,office,
1,Both Ways,0,1,1,80.0-85.0%,80.0,85.0,82.5,happy,1,2,50.0,office,
1,Both Ways,0,1,1,80.0-85.0%,80.0,85.0,82.5,neutral,1,2,50.0,office,
1,Both Ways,0,1,1,85.0-90.0%,85.0,90.0,87.5,happy,3,4,75.0,office,
1,Both Ways,0,1,1,85.0-90.0%,85.0,90.0,87.5,neutral,1,4,25.0,office,
1,Both Ways,0,1,1,90.0-95.0%,90.0,95.0,92.5,neutral,4,6,66.66666666666666,office,
1,Both Ways,0,1,1,90.0-95.0%,90.0,95.0,92.5,fear,2,6,33.33333333333333,office,
1,Both Ways,0,1,1,95.0-100.0%,95.0,100.0,97.5,fear,2,5,40.0,office,
1,Both Ways,0,1,1,95.0-100.0%,95.0,100.0,97.5,happy,2,5,40.0,office,
1,Both Ways,0,1,1,95.0-100.0%,95.0,100.0,97.5,neutral,1,5,20.0,office,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,disgust,3,7,42.857142857142854,commercial,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,happy,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,neutral,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,surprise,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,sad,2,5,40.0,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,disgust,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,happy,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,neutral,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,10.0-15.0%,10.0,15.0,12.5,sad,3,6,50.0,commercial,
2,Has This Ever Happened to You?,1,1,1,10.0-15.0%,10.0,15.0,12.5,disgust,2,6,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,10.0-15.0%,10.0,15.0,12.5,neutral,1,6,16.666666666666664,commercial,
2,Has This Ever Happened to You?,1,1,1,15.0-20.0%,15.0,20.0,17.5,neutral,5,7,71.42857142857143,commercial,
2,Has This Ever Happened to You?,1,1,1,15.0-20.0%,15.0,20.0,17.5,sad,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,happy,2,5,40.0,commercial,
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,anger,1,5,20.0,commercial,
