sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,dominance_ratio,category,category2
1,Both Ways,0,1,1,0.0-5.0%,0.0,5.0,2.5,anger,5,9,0.5555555555555556,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,anger,5,13,0.38461538461538464,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,happy,3,6,0.5,office,
1,Both Ways,0,1,1,15.0-20.0%,15.0,20.0,17.5,sad,3,5,0.6,office,
1,Both Ways,0,1,1,20.0-25.0%,20.0,25.0,22.5,surprise,1,1,1.0,office,
1,Both Ways,0,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,2,4,0.5,office,
1,Both Ways,0,1,1,30.0-35.0%,30.0,35.0,32.5,sad,2,3,0.6666666666666666,office,
1,Both Ways,0,1,1,35.0-40.0%,35.0,40.0,37.5,happy,2,4,0.5,office,
1,Both Ways,0,1,1,40.0-45.0%,40.0,45.0,42.5,disgust,4,6,0.6666666666666666,office,
1,Both Ways,0,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,1,2,0.5,office,
1,Both Ways,0,1,1,55.0-60.0%,55.0,60.0,57.5,fear,1,2,0.5,office,
1,Both Ways,0,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,3,5,0.6,office,
1,Both Ways,0,1,1,65.0-70.0%,65.0,70.0,67.5,happy,2,2,1.0,office,
1,Both Ways,0,1,1,70.0-75.0%,70.0,75.0,72.5,happy,3,5,0.6,office,
1,Both Ways,0,1,1,75.0-80.0%,75.0,80.0,77.5,happy,1,2,0.5,office,
1,Both Ways,0,1,1,80.0-85.0%,80.0,85.0,82.5,happy,1,2,0.5,office,
1,Both Ways,0,1,1,85.0-90.0%,85.0,90.0,87.5,happy,3,4,0.75,office,
1,Both Ways,0,1,1,90.0-95.0%,90.0,95.0,92.5,neutral,4,6,0.6666666666666666,office,
1,Both Ways,0,1,1,95.0-100.0%,95.0,100.0,97.5,fear,2,5,0.4,office,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,disgust,3,7,0.42857142857142855,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,sad,2,5,0.4,commercial,
2,Has This Ever Happened to You?,1,1,1,10.0-15.0%,10.0,15.0,12.5,sad,3,6,0.5,commercial,
