sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,most_common_emotion,avg_confidence,category,category2
1,Both Ways,0,1,1,0.0-5.0%,0.0,5.0,2.5,anger,0.5839078161451552,office,
1,Both Ways,0,1,1,5.0-10.0%,5.0,10.0,7.5,anger,0.6886748602757087,office,
1,Both Ways,0,1,1,10.0-15.0%,10.0,15.0,12.5,happy,0.78299880027771,office,
1,Both Ways,0,1,1,15.0-20.0%,15.0,20.0,17.5,sad,0.49736087322235106,office,
1,Both Ways,0,1,1,20.0-25.0%,20.0,25.0,22.5,surprise,0.8002161979675293,office,
1,Both Ways,0,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,0.5782728716731071,office,
1,Both Ways,0,1,1,30.0-35.0%,30.0,35.0,32.5,sad,0.5532858471075693,office,
1,Both Ways,0,1,1,35.0-40.0%,35.0,40.0,37.5,happy,0.66143349558115,office,
1,Both Ways,0,1,1,40.0-45.0%,40.0,45.0,42.5,disgust,0.5751546919345856,office,
1,Both Ways,0,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,0.39982789754867554,office,
1,Both Ways,0,1,1,55.0-60.0%,55.0,60.0,57.5,fear,0.45127592980861664,office,
1,Both Ways,0,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,0.6552024841308594,office,
1,Both Ways,0,1,1,65.0-70.0%,65.0,70.0,67.5,happy,0.8779646158218384,office,
1,Both Ways,0,1,1,70.0-75.0%,70.0,75.0,72.5,happy,0.8391323089599609,office,
1,Both Ways,0,1,1,75.0-80.0%,75.0,80.0,77.5,happy,0.8833411931991577,office,
1,Both Ways,0,1,1,80.0-85.0%,80.0,85.0,82.5,happy,0.8860164284706116,office,
1,Both Ways,0,1,1,85.0-90.0%,85.0,90.0,87.5,happy,0.952008992433548,office,
1,Both Ways,0,1,1,90.0-95.0%,90.0,95.0,92.5,neutral,0.6024450759092966,office,
1,Both Ways,0,1,1,95.0-100.0%,95.0,100.0,97.5,fear,0.775349748134613,office,
2,Has This Ever Happened to You?,1,1,1,0.0-5.0%,0.0,5.0,2.5,disgust,0.565569566828864,commercial,
2,Has This Ever Happened to You?,1,1,1,5.0-10.0%,5.0,10.0,7.5,sad,0.714889121055603,commercial,
2,Has This Ever Happened to You?,1,1,1,10.0-15.0%,10.0,15.0,12.5,sad,0.5634871522585551,commercial,
2,Has This Ever Happened to You?,1,1,1,15.0-20.0%,15.0,20.0,17.5,neutral,0.6683032214641571,commercial,
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,happy,0.720224940776825,commercial,
2,Has This Ever Happened to You?,1,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,0.6194900155067444,commercial,
2,Has This Ever Happened to You?,1,1,1,30.0-35.0%,30.0,35.0,32.5,disgust,0.6496470187391553,commercial,
2,Has This Ever Happened to You?,1,1,1,35.0-40.0%,35.0,40.0,37.5,fear,0.7443287968635559,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,happy,0.681903313845396,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,anger,0.6563457142223011,commercial,
2,Has This Ever Happened to You?,1,1,1,50.0-55.0%,50.0,55.0,52.5,happy,0.7732001890738806,commercial,
2,Has This Ever Happened to You?,1,1,1,55.0-60.0%,55.0,60.0,57.5,surprise,0.6432302377440713,commercial,
2,Has This Ever Happened to You?,1,1,1,60.0-65.0%,60.0,65.0,62.5,anger,0.6685932576656342,commercial,
2,Has This Ever Happened to You?,1,1,1,65.0-70.0%,65.0,70.0,67.5,anger,0.6910108242716108,commercial,
2,Has This Ever Happened to You?,1,1,1,70.0-75.0%,70.0,75.0,72.5,anger,0.53189817070961,commercial,
2,Has This Ever Happened to You?,1,1,1,75.0-80.0%,75.0,80.0,77.5,anger,0.5931535618645805,commercial,
2,Has This Ever Happened to You?,1,1,1,85.0-90.0%,85.0,90.0,87.5,anger,0.7548619210720062,commercial,
2,Has This Ever Happened to You?,1,1,1,90.0-95.0%,90.0,95.0,92.5,anger,0.5569750411169869,commercial,
2,Has This Ever Happened to You?,1,1,1,95.0-100.0%,95.0,100.0,97.5,neutral,0.7089201360940933,commercial,
3,Baby of the Year,2,1,1,0.0-5.0%,0.0,5.0,2.5,sad,0.6464533607165018,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,happy,0.7318043135679685,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,surprise,0.6960849397712283,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,happy,0.6914583038200032,game show,
3,Baby of the Year,2,1,1,20.0-25.0%,20.0,25.0,22.5,happy,0.660290652513504,game show,
3,Baby of the Year,2,1,1,25.0-30.0%,25.0,30.0,27.5,happy,0.7839948733647665,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,disgust,0.5601550477582056,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,sad,0.6444647814098158,game show,
3,Baby of the Year,2,1,1,40.0-45.0%,40.0,45.0,42.5,happy,0.6853895386060079,game show,
3,Baby of the Year,2,1,1,45.0-50.0%,45.0,50.0,47.5,happy,0.490468181669712,game show,
3,Baby of the Year,2,1,1,50.0-55.0%,50.0,55.0,52.5,sad,0.5987241314007685,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,sad,0.5412956431508065,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,sad,0.533890342170542,game show,
3,Baby of the Year,2,1,1,65.0-70.0%,65.0,70.0,67.5,sad,0.7942311220309314,game show,
3,Baby of the Year,2,1,1,70.0-75.0%,70.0,75.0,72.5,sad,0.7514284991699717,game show,
3,Baby of the Year,2,1,1,75.0-80.0%,75.0,80.0,77.5,sad,0.7739800910154978,game show,
3,Baby of the Year,2,1,1,80.0-85.0%,80.0,85.0,82.5,sad,0.8015634305775166,game show,
3,Baby of the Year,2,1,1,85.0-90.0%,85.0,90.0,87.5,sad,0.6171394189198812,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,sad,0.6703462221405723,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,sad,0.6048582394917806,game show,
4,Instagram,3,1,1,0.0-5.0%,0.0,5.0,2.5,happy,0.9202867854725231,social media,
4,Instagram,3,1,1,5.0-10.0%,5.0,10.0,7.5,neutral,0.7806403977530343,social media,
4,Instagram,3,1,1,10.0-15.0%,10.0,15.0,12.5,happy,0.8135831505060196,social media,
4,Instagram,3,1,1,15.0-20.0%,15.0,20.0,17.5,happy,0.8721300005912781,social media,
4,Instagram,3,1,1,20.0-25.0%,20.0,25.0,22.5,sad,0.8358243746416909,social media,
4,Instagram,3,1,1,25.0-30.0%,25.0,30.0,27.5,happy,0.8477969646453858,social media,
4,Instagram,3,1,1,30.0-35.0%,30.0,35.0,32.5,neutral,0.5091304012707302,social media,
4,Instagram,3,1,1,35.0-40.0%,35.0,40.0,37.5,happy,0.6053756127754847,social media,
4,Instagram,3,1,1,40.0-45.0%,40.0,45.0,42.5,sad,0.8048176339694432,social media,
4,Instagram,3,1,1,45.0-50.0%,45.0,50.0,47.5,sad,0.7727307736873626,social media,
4,Instagram,3,1,1,50.0-55.0%,50.0,55.0,52.5,sad,0.6618704582963671,social media,
4,Instagram,3,1,1,55.0-60.0%,55.0,60.0,57.5,disgust,0.809981712273189,social media,
4,Instagram,3,1,1,60.0-65.0%,60.0,65.0,62.5,happy,0.6934132128953934,social media,
4,Instagram,3,1,1,65.0-70.0%,65.0,70.0,67.5,sad,0.6645545432200799,social media,
4,Instagram,3,1,1,70.0-75.0%,70.0,75.0,72.5,happy,0.6853814795613289,social media,
4,Instagram,3,1,1,75.0-80.0%,75.0,80.0,77.5,neutral,0.7556706070899963,social media,
4,Instagram,3,1,1,80.0-85.0%,80.0,85.0,82.5,sad,0.6334189006260463,social media,
4,Instagram,3,1,1,85.0-90.0%,85.0,90.0,87.5,sad,0.7532663089888436,social media,
4,Instagram,3,1,1,90.0-95.0%,90.0,95.0,92.5,disgust,0.6945642630259196,social media,
4,Instagram,3,1,1,95.0-100.0%,95.0,100.0,97.5,happy,0.7168408717427935,social media,
5,Gift Receipt,4,1,1,0.0-5.0%,0.0,5.0,2.5,happy,0.831965097674617,party,
5,Gift Receipt,4,1,1,5.0-10.0%,5.0,10.0,7.5,happy,0.7333804556856984,party,
5,Gift Receipt,4,1,1,10.0-15.0%,10.0,15.0,12.5,happy,0.6971356457677381,party,
5,Gift Receipt,4,1,1,15.0-20.0%,15.0,20.0,17.5,happy,0.6922412804867092,party,
5,Gift Receipt,4,1,1,20.0-25.0%,20.0,25.0,22.5,happy,0.8269201254844666,party,
5,Gift Receipt,4,1,1,25.0-30.0%,25.0,30.0,27.5,neutral,0.722961238136998,party,
5,Gift Receipt,4,1,1,30.0-35.0%,30.0,35.0,32.5,sad,0.7246558273710856,party,
5,Gift Receipt,4,1,1,35.0-40.0%,35.0,40.0,37.5,happy,0.6722700877322091,party,
5,Gift Receipt,4,1,1,40.0-45.0%,40.0,45.0,42.5,neutral,0.5901997822981614,party,
5,Gift Receipt,4,1,1,45.0-50.0%,45.0,50.0,47.5,neutral,0.5944548453155317,party,
5,Gift Receipt,4,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,0.6673789521058401,party,
5,Gift Receipt,4,1,1,55.0-60.0%,55.0,60.0,57.5,sad,0.5883305279108194,party,
5,Gift Receipt,4,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,0.6682256826332638,party,
5,Gift Receipt,4,1,1,65.0-70.0%,65.0,70.0,67.5,sad,0.6643038461374682,party,
5,Gift Receipt,4,1,1,70.0-75.0%,70.0,75.0,72.5,surprise,0.5580217242240906,party,
5,Gift Receipt,4,1,1,75.0-80.0%,75.0,80.0,77.5,neutral,0.7931988418102265,party,
5,Gift Receipt,4,1,1,80.0-85.0%,80.0,85.0,82.5,neutral,0.8500690098319735,party,
5,Gift Receipt,4,1,1,85.0-90.0%,85.0,90.0,87.5,surprise,0.5550941093401476,party,
