sketch_id,sketch_name,season,episode,sentence_index,sentence_text,sentiment_label,sentiment_score
1,Both Ways,1,1,1,"Obviously, I'd love to work for you, and I appreciate you taking the time to meet with me.",admiration,0.712238609790802
1,Both Ways,1,1,2,I...,neutral,0.9666339755058289
1,Both Ways,1,1,3,I feel good about it.,joy,0.6175849437713623
1,Both Ways,1,1,4,I hope I didn't do too much talking.,optimism,0.895629346370697
1,Both Ways,1,1,5,"No, you were great.",admiration,0.9473088979721069
1,Both Ways,1,1,6,You were great.,admiration,0.9499596357345581
1,Both Ways,1,1,7,I hope to hear from you soon.,optimism,0.9166327118873596
1,Both Ways,1,1,8,We'll be in touch.,neutral,0.9371975660324097
1,Both Ways,1,1,9,Really nice meeting you.,admiration,0.9357901215553284
1,Both Ways,1,1,10,Nice to meet you as well.,admiration,0.8466587662696838
1,Both Ways,1,1,11,Okay.,approval,0.7066349983215332
1,Both Ways,1,1,12,"Oh!
Looks like you push.",neutral,0.8615079522132874
1,Both Ways,1,1,13,"Oh, it does both.",neutral,0.7641510963439941
1,Both Ways,1,1,14,"What?
It does both.",neutral,0.6235058903694153
1,Both Ways,1,1,15,"I was here yesterday, and it actually goes both ways.",neutral,0.7841137647628784
1,Both Ways,1,1,16,"Oh, okay.",approval,0.6989908814430237
1,Both Ways,1,1,17,"Okay, see you.",neutral,0.9292882680892944
1,Both Ways,1,1,18,See?,neutral,0.8688681125640869
1,Both Ways,1,1,19,Hope to hear from you soon.,optimism,0.9378212690353394
2,Has This Ever Happened To You,1,1,1,Have you been the victim of unfair treatment by a business or a corporation?,curiosity,0.7328213453292847
2,Has This Ever Happened To You,1,1,2,Has this ever happened to you?,curiosity,0.693520188331604
2,Has This Ever Happened To You,1,1,3,"You bought a house, it was not disclosed to you that there was a termite infestation in the walls and in the moldings, so you have to take it upon yourself to call your n",neutral,0.9046160578727722
2,Has This Ever Happened To You,1,1,4,"termite extermination company, but when the guys show up, they immediately ask if they can use your bathroom, then for over two hours, they take turns going in and out of there, taking huge mud pies and over-flushing?",neutral,0.8587698936462402
2,Has This Ever Happened To You,1,1,5,"Then they go in there together, and you hear a bunch of scrounging around, and then you hear a bunch of yelling, and one of them is standing in the bathroom doorway shouting at you that his friend's foot's stuck in the toilet, and he says, ""Help him!",neutral,0.943889856338501
2,Has This Ever Happened To You,1,1,6,"You got to help him!""",caring,0.875359058380127
2,Has This Ever Happened To You,1,1,7,"And when you go in there to help him, he just pulls it out easily and laughs 'cause his foot wasn't stuck.",amusement,0.47171854972839355
2,Has This Ever Happened To You,1,1,8,"It wasn't stuck at all, he was just faking it.",neutral,0.8517457246780396
2,Has This Ever Happened To You,1,1,9,"And then they get really serious and say, ""It's Turbo time!""",neutral,0.9172620177268982
2,Has This Ever Happened To You,1,1,10,And they both start running around the house as fast as they can and jumping over the couches.,neutral,0.9105457663536072
2,Has This Ever Happened To You,1,1,11,"But when you try and jump in, they yell at you and they say, ""You're not part of the Turbo Team!",neutral,0.8801498413085938
2,Has This Ever Happened To You,1,1,12,Don't run!,disapproval,0.5165497064590454
2,Has This Ever Happened To You,1,1,13,You don't run with us!,neutral,0.9062448143959045
2,Has This Ever Happened To You,1,1,14,We're the ones who run!,neutral,0.7557899355888367
2,Has This Ever Happened To You,1,1,15,"Until you're part of this Turbo Team, walk... slowly!""",neutral,0.7944616675376892
2,Has This Ever Happened To You,1,1,16,"So you go and lay down to be by yourself and read your art books, but then the next day, you went into the bathroom, and it looked like the hole in your toilet had shrunk.",neutral,0.8139494061470032
2,Has This Ever Happened To You,1,1,17,"""How could that be?",neutral,0.4475425183773041
2,Has This Ever Happened To You,1,1,18,"There's no way they could have shrunk the toilet.""",neutral,0.575474739074707
2,Has This Ever Happened To You,1,1,19,"But then you saw in the trash a receipt from Home Depot for a toilet the exact same size as yours, but with a joke hole that's just for farts!",neutral,0.5481449961662292
2,Has This Ever Happened To You,1,1,20,"They replaced your real toilet with a fart toilet, and now you can't take a dump in your house 'cause your toilet can't suck 'em down, and you feel sick to your stomach!",neutral,0.5537028908729553
2,Has This Ever Happened To You,1,1,21,Has that ever happened to you?!,curiosity,0.6788248419761658
2,Has This Ever Happened To You,1,1,22,"Call me right now, please.",neutral,0.8809687495231628
3,Baby of the Year,1,1,1,Look at their rolls.,neutral,0.9555829763412476
